track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,streams,key,mode
Space Song,Beach House,1,2015,17852,789753877,nan,Minor
Im Not The Only One,Sam Smith,1,2014,17492,1606986953,F,Major
One Kiss with Dua Lipa,Calvin Harris Dua Lipa,2,2017,27705,1897517891,A,Minor
Dont Start Now,Dua Lipa,1,2019,27119,2303033973,B,Minor
After Dark,MrKitty,1,2014,1776,646886885,G,Major
Atlantis,Seafret,1,2015,3045,571386359,G,Minor
Running Up That Hill A Deal With God,Kate Bush,1,1985,21811,1024858327,A,Minor
Dream On,Aerosmith,1,1973,168,838586769,F,Minor
Agudo Mgi,Styrx utku INC Thezth,3,1930,323,90598517,F,Minor
Payphone,Maroon 5 Wiz Khalifa,2,2012,14143,1479264469,E,Major
All I Want for Christmas Is You,Mariah Carey,1,1994,25653,1449779435,G,Major
Last Christmas,Wham,1,1984,22153,1159176109,B,Minor
Rockin Around The Christmas Tree,Brenda Lee,1,1958,14994,769213520,G,Major
Jingle Bell Rock,Bobby Helms,1,1957,10326,741301563,D,Major
Its Beginning To Look A Lot Like Christmas,Michael Bubl,1,2011,12353,807561936,E,Major
Santa Tell Me,Ariana Grande,1,2013,9408,834129063,G,Major
Its the Most Wonderful Time of the Year,Andy Williams,1,1963,8879,663832097,G,Major
Let It Snow Let It Snow Let It Snow,Dean Martin,1,1959,6512,446390129,C,Major
Snowman,Sia,1,2017,5140,690104769,C,Major
Underneath the Tree,Kelly Clarkson,1,2013,6596,485285717,G,Major
Feliz Navidad,Jos Felic,1,1970,3788,520034544,D,Major
Holly Jolly Christmas,Michael Bubl,1,2011,7655,476244795,G,Major
Mistletoe,Justin Bieber,1,2011,9577,629173063,F,Minor
Sleigh Ride,The Ronettes,1,1963,10114,404664135,D,Major
Happy Xmas War Is Over,John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono,4,1971,10829,460492795,D,Major
A Holly Jolly Christmas  Single Version,Burl Ives,1,1952,7930,395591396,nan,Major
The Christmas Song Merry Christmas To You  Remastered 1999,Nat King Cole,1,1946,11500,389771964,C,Major
Wonderful Christmastime  Edited Version  Remastered 2011,Paul McCartney,1,1979,1685,403939487,B,Major
Do They Know Its Christmas  1984 Version,Band Aid,1,1984,14169,481697415,nan,Major
Merry Christmas Everyone,Shakin Stevens,1,1984,1087,351636786,C,Minor
Let It Snow Let It Snow Let It Snow,Frank Sinatra B Swanson Quartet,2,1950,10585,473248298,D,Major
White Christmas,Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,3,1942,11940,395591396,A,Major
Driving Home for Christmas  2019 Remaster,Chris Rea,1,1986,888,429504768,A,Major
Christmas Baby Please Come Home,Darlene Love,1,1963,9122,242767149,D,Major
Merry Christmas,Ed Sheeran Elton John,2,2017,2209,135723538,nan,Major
Its Beginning to Look a Lot Like Christmas with Mitchell Ayres  His Orchestra,Perry Como The Fontane Sisters Mitchell Ayres  His Orchestra,3,1958,6290,295998468,G,Major
My Only Wish This Year,Britney Spears,1,2000,6952,261116938,nan,Major
Deck The Hall  Remastered 1999,Nat King Cole,1,1959,3299,127027715,F,Minor
You Make It Feel Like Christmas feat Blake Shelton,Gwen Stefani Blake Shelton,2,2005,2577,180577478,F,Major
Run Rudolph Run  Single Version,Chuck Berry,1,1958,8612,245350949,G,Minor
Jingle Bells  Remastered 1999,Frank Sinatra,1,1957,4326,178660459,G,Major
Infinity,Jaymes Young,1,2017,4375,888046992,B,Minor
love nwantiti ah ah ah,Ckay,1,2019,5669,726837877,F,Minor
Beggin,Mne,1,2017,8559,1367810478,B,Minor
Softcore,The Neighbourhood,1,2018,3947,599770206,D,Major
Love Nwantiti  Remix,Ckay AXEL Dj Yo,3,2019,2696,540539717,G,Major
Lost in the Fire,The Weeknd Gesaffelstein,2,2019,7731,686734357,D,Major
Love Grows Where My Rosemary Goes,Edison Lighthouse,1,1970,2877,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,A,Major
Freaks,Surf Curse,1,2015,3006,824420218,A,Major
Daddy Issues,The Neighbourhood,1,2015,9771,1127468248,A,Major
Before You Go,Lewis Capaldi,1,2019,8327,1608045237,D,Major
Rolling in the Deep,Adele,1,2010,35684,1472799873,G,Major
No Lie,Sean Paul Dua Lipa,2,2016,7370,956865266,G,Major
Pope Is a Rockstar,SALES,1,2016,1966,156658366,E,Minor
Bored,Billie Eilish,1,2017,4204,777765388,G,Major
Astronaut In The Ocean,Masked Wolf,1,2019,7191,1138474110,E,Minor
Talking To The Moon,Bruno Mars,1,2010,7109,1062956628,C,Minor
The Nights,Avicii,1,2014,17354,1456081449,F,Major
Dance Monkey,Tones and I,1,2019,24529,2864791672,F,Minor
Lucid Dreams,Juice WRLD,1,2017,14749,2288695111,B,Minor
All of Me,John Legend,1,2013,27221,2086124197,G,Major
Smells Like Teen Spirit  Remastered 2021,Nirvana,1,1991,49991,1690192927,C,Major
Arcade,Duncan Laurence,1,2019,6646,991336132,A,Minor
Mr Brightside,The Killers,1,2003,51979,1806617704,C,Major
Streets,Doja Cat,1,2019,5728,865640097,B,Major
Shallow,Lady Gaga Bradley Cooper,2,2018,16636,2159346687,G,Major
Till I Collapse,Eminem Nate Dogg,2,2002,22923,1695712020,C,Major
Memories,Maroon 5,1,2019,9974,1759567999,B,Major
Still DRE,Dr Dre Snoop Dogg,2,1999,33966,1210599487,B,Major
The Next Episode,Dr Dre Snoop Dogg,2,1999,31762,843309044,D,Minor
Lost,Frank Ocean,1,2012,29499,822239726,A,Minor
In Da Club,50 Cent,1,2002,30427,1202722675,F,Minor
Ginseng Strip 2002,Yung Lean,1,2013,4310,240769997,C,Major
All For Us  from the HBO Original Series Euphoria,Labrinth Zendaya,2,2019,5342,426204830,D,Major
Notion,The Rare Occasions,1,2016,2393,421135627,A,Major
Formula,Labrinth,1,2019,3444,554875730,B,Major
Mount Everest,Labrinth,1,2019,5443,467727006,nan,Minor
California Love  Original Version Explicit,Dr Dre 2Pac Roger,3,1995,18773,579395142,G,Major
Forgot About Dre,Eminem Dr Dre,2,1999,19067,675039469,G,Major
HUMBLE,Kendrick Lamar,1,2017,33206,1929770265,C,Minor
Stan,Eminem Dido,2,1999,17115,918915401,F,Minor
Swim,Chase Atlantic,1,2017,2742,498960285,G,Major
Alien Blues,Vundabar,1,2015,1930,370068639,D,Major
Thinking Out Loud,Ed Sheeran,1,2014,33032,2280566092,D,Major
Still Dont Know My Name,Labrinth,1,2019,6332,563902868,F,Major
When I RIP,Labrinth,1,2019,2578,203680270,G,Minor
Forever,Labrinth,1,2019,3618,282883169,E,Minor
Seo,Shawn Mendes Camila Cabello,2,2019,15010,2484812918,A,Minor
NEW MAGIC WAND,Tyler The Creator,2,2019,4708,461437791,F,Minor
Adore You,Harry Styles,1,2019,13454,1439191367,G,Major
Something In The Way  Remastered 2021,Nirvana,1,1991,9514,368646862,G,Major
Yo Voy feat Daddy Yankee,Zion  Lennox,1,2004,2954,527033089,A,Major
Thinking with My Dick,Kevin Gates Juicy J,2,2013,1550,109091573,nan,Major
Bohemian Rhapsody  Remastered 2011,Queen,1,1975,40112,2197010679,nan,Minor
Hope,XXXTENTACION,1,2018,3659,1200808494,A,Minor
Wake Me Up  Radio Edit,Avicii,1,2013,50887,1970673297,D,Major
Something Just Like This,The Chainsmokers Coldplay,2,2017,23375,2204080728,B,Minor
Closer,The Chainsmokers Halsey,2,2016,28032,2591224264,G,Major
Somebody That I Used To Know,Gotye Kimbra,2,2011,42798,1457139296,nan,Major
Toms Diner,AnnenMayKantereit Giant Rooks,2,2019,2605,236872197,F,Minor
Wait a Minute,Willow,1,2015,11985,924193303,D,Minor
Cool for the Summer,Demi Lovato,1,2015,9243,677389855,F,Minor
Falling,Harry Styles,1,2019,7556,1023187129,E,Major
Sigue,Ed Sheeran J Balvin,2,1996,1370,106933107,G,Major
Theres Nothing Holdin Me Back,Shawn Mendes,1,2016,12382,1714490998,D,Major
Golden,Harry Styles,1,2019,8429,807015863,E,Minor
Get Lucky  Radio Edit,Pharrell Williams Nile Rodgers Daft Punk,3,2013,52898,933815613,F,Minor
Photograph,Ed Sheeran,1,2014,18778,2236667932,E,Major
Love Yourself,Justin Bieber,1,2015,22730,2123309722,E,Major
Callaita,Bad Bunny Tainy,2,2019,9539,1304313953,D,Major
House Of Memories,Panic At The Disco,1,2016,2948,582863434,B,Minor
Iris,The Goo Goo Dolls,1,1998,13101,1284942608,B,Minor
San Lucas,Kevin Kaarl,1,2019,407,244891912,G,Major
Good Looking,Suki Waterhouse,1,2017,2264,184706613,E,Major
Pass The Dutchie,Musical Youth,1,1982,5328,195918494,G,Major
Only Love Can Hurt Like This,Paloma Faith,1,2014,5148,588955257,G,Major
Me and Your Mama,Childish Gambino,1,2016,8775,445590495,F,Major
SLOW DANCING IN THE DARK,Joji,1,2018,10211,1122364376,D,Major
Master of Puppets Remastered,Metallica,1,1986,6080,704171068,E,Minor
Sweet Child O Mine,Guns N Roses,1,1987,41231,1553497987,F,Major
Mary On A Cross,Ghost,1,2019,2668,387080183,B,Major
Heartless,Kanye West,1,2008,17504,887906111,A,Minor
Hold Me Closer,Elton John Britney Spears,2,2017,4967,284216603,nan,Major
Bound 2,Kanye West,1,2013,19806,703301727,C,Major
The Scientist,Coldplay,1,2002,30992,1608164312,F,Major
Sparks,Coldplay,1,2000,10826,624101957,C,Major
Selfish,PnB Rock,1,2016,2468,380319238,C,Minor
Miss You,Southstar,1,1982,2020,154356956,A,Major
we fell in love in october,girl in red,1,2018,6858,723043854,G,Major
